X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
0.12,0.13,0.08,0.08,0.12,0.11,0.11,0.1,0.07,0.09,0.08,0.08,0.19,0.07,0.12,0.07,0.1,0.08,0.1,0.14,0.17,0.08,0.1,0.1,0.09,0.09,0.1,0.11,0.1,0.09,0,10.24,0.34,2900.0,1450.0,2175.0,4.15,4.19,3.8,5.22,4.89,5.22,12.45,Walking
0.05,0.12,0.17,0.2,0.15,0.16,0.14,0.03,0.0,0.0,0.08,0.06,0.06,0.04,0.06,0.06,0.11,0.12,0.18,0.18,0.21,0.14,0.13,0.08,0.07,0.07,0.06,0.04,0.08,0.14,0,9.54,-1.87,2700.0,371.15,4600.0,3.34,7.09,6.29,4.23,8.43,4.23,14.5,Jogging
0.06,0.08,0.11,0.08,0.13,0.1,0.13,0.11,0.14,0.09,0.06,0.06,0.11,0.11,0.16,0.14,0.14,0.1,0.1,0.06,0.06,0.09,0.12,0.06,0.14,0.13,0.13,0.11,0.11,0.07,0,9.57,1.72,4050.0,550.0,2700.0,2.1,2.11,1.56,2.71,2.82,2.71,10.3,Downstairs
0.15,0.05,0.09,0.07,0.11,0.13,0.08,0.12,0.12,0.1,0.12,0.12,0.07,0.07,0.11,0.12,0.14,0.08,0.08,0.12,0.09,0.08,0.07,0.15,0.12,0.12,0.09,0.1,0.12,0.08,0,6.78,0.38,1540.0,1150.0,3325.0,6.84,3.21,2.42,7.97,4.12,7.97,10.49,Walking
0.05,0.09,0.07,0.08,0.12,0.08,0.16,0.14,0.11,0.0,0.08,0.16,0.06,0.1,0.09,0.1,0.12,0.1,0.12,0.0,0.11,0.11,0.07,0.14,0.09,0.07,0.13,0.12,0.09,0.0,0,8.96,0.61,2616.67,384.0,1570.0,2.79,8.02,4.09,3.63,9.1,3.63,12.64,Jogging
0.09,0.13,0.11,0.09,0.07,0.13,0.11,0.07,0.13,0.07,0.11,0.1,0.11,0.11,0.13,0.08,0.12,0.1,0.07,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.14,0.05,0.14,0.12,0,4.9,0.24,2100.0,800.0,350.0,8.59,2.67,2.28,9.61,3.75,9.61,11.06,Walking
0.1,0.06,0.07,0.11,0.09,0.11,0.09,0.15,0.13,0.13,0.11,0.11,0.12,0.09,0.06,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.16,0.1,0.13,0.09,0.1,0.08,0.11,0,9.85,0.8,3650.0,1027.78,3050.0,1.96,4.15,3.33,2.59,5.05,2.59,11.25,Walking
0.02,0.12,0.12,0.13,0.09,0.13,0.1,0.08,0.12,0.12,0.06,0.09,0.14,0.09,0.13,0.1,0.11,0.1,0.11,0.08,0.05,0.08,0.08,0.11,0.12,0.08,0.14,0.16,0.15,0.05,0,3.18,0.77,3225.0,3475.0,550.0,9.59,1.36,2.38,10.1,1.7,10.1,10.61,Walking
0.0,0.02,0.07,0.09,0.08,0.12,0.15,0.16,0.14,0.19,0.1,0.09,0.11,0.12,0.08,0.09,0.1,0.09,0.12,0.13,0.09,0.08,0.13,0.12,0.12,0.14,0.09,0.08,0.09,0.08,0,8.8,-0.66,1700.0,500.0,1766.67,3.16,5.05,2.64,4.08,5.89,4.08,10.61,Downstairs
0.0,0.24,0.1,0.07,0.09,0.11,0.07,0.11,0.13,0.1,0.09,0.09,0.1,0.1,0.14,0.1,0.09,0.14,0.12,0.06,0.05,0.08,0.09,0.1,0.12,0.12,0.16,0.09,0.13,0.07,0,1.48,-0.77,3150.0,1208.33,2362.5,9.24,7.21,2.62,11.65,8.5,11.65,13.03,Jogging
